date,open,high,low,close,volumn,amount,post_close
2007-10-30,4538.111,4547.278,4477.213,4489.666,2922097,5373668864,4548.501
2007-10-31,4652.959,4665.407,4622.514,4623.1179999999995,5469857,10264813568,4604.741
2007-11-1,4648.692,4667.8820000000005,4624.606,4667.806,5420896,10468705280,4633.460999999999
2007-11-2,4536.215999999999,4555.77,4502.124,4503.062,4192656,7292480512,4560.538
2007-11-5,4517.225,4517.225,4435.63,4496.803,3900987,8364323840,4474.516
2007-11-6,4371.912,4428.317,4346.994000000001,4415.8009999999995,2246103,4264666368,4418.771
2007-11-7,4367.625,4399.787,4367.625,4375.41,2464413,4575837696,4353.054
2007-11-8,4353.186,4353.186,4268.649,4287.06,2769776,5248448512,4248.096
2007-11-9,4110.222,4149.789000000001,4094.2529999999997,4110.642,2880496,5611807232,4172.454000000001
2007-11-12,4025.828,4074.0190000000002,4013.812,4039.885,3017579,5573603840,4019.973
2007-11-13,4145.531,4206.185,4145.531,4184.379,3779422,7749561856,4184.463
2007-11-14,4142.518,4172.559,4093.2,4129.454000000001,2788592,5342214656,4106.545999999999
2007-11-15,4227.753,4260.755999999999,4191.19,4257.488,2485346,5777040896,4236.226
2007-11-16,4124.4220000000005,4155.876,4105.577,4123.569,1678673,3350263552,4110.385
2007-11-19,4141.198,4154.795,4094.7540000000004,4132.8009999999995,1408887,2962550272,4082.768
2007-11-20,4059.188,4059.188,4006.9640000000004,4016.97,2609338,4986139648,4081.639
2007-11-21,4150.844,4155.8679999999995,4124.596,4147.552,1705929,3436963072,4126.07
2007-11-22,3988.1440000000002,4003.634,3951.7340000000004,3966.655,2244551,4447372800,3996.718
2007-11-23,3865.406,3923.4790000000003,3845.461,3845.461,1506098,3164438784,3881.387
2007-11-26,4020.645,4037.9770000000003,3987.114,3990.38,2109235,4447412224,3993.5359999999996
2007-11-27,3874.768,3884.651,3857.2909999999997,3859.695,1499639,3167096064,3863.841
2007-11-28,3839.511,3873.1740000000004,3793.605,3800.873,2160459,4162942720,3847.4840000000004
2007-11-29,3840.389,3856.2509999999997,3821.4240000000004,3842.9590000000003,2337069,4970680320,3866.336
2007-11-30,3968.6740000000004,3968.6740000000004,3907.5409999999997,3932.6440000000002,2271926,4504177664,3889.065
2007-12-3,3859.8540000000003,3910.2470000000003,3838.487,3910.2470000000003,2066875,3550808576,3897.3709999999996
2007-12-4,3921.9120000000003,3983.494,3921.9120000000003,3971.51,1903964,3688154624,3991.515
2007-12-5,3963.558,4001.083,3954.691,3996.9429999999998,1759532,3235521536,4016.712
2007-12-6,4085.0370000000003,4093.49,4056.592,4056.592,1932748,3705875456,4054.468
2007-12-7,4076.4440000000004,4108.599,4076.4440000000004,4089.966,1462670,2757490432,4121.925
2007-12-10,4052.375,4121.917,4041.864,4109.374,3224775,6107955200,4157.044
2007-12-11,4197.7029999999995,4216.518,4188.901,4198.23,2963555,6230636544,4172.186
2007-12-12,4130.769,4130.769,4077.995,4080.4320000000002,2804938,6113189888,4066.272
2007-12-13,4061.4240000000004,4075.57,4047.349,4053.902,1875837,4309256704,4030.538
2007-12-14,3901.574,3956.6420000000003,3881.5,3945.244,2254332,4546802688,3932.237
2007-12-17,4002.988,4002.988,3940.566,3942.0879999999997,1939222,4070943744,3916.3520000000003
2007-12-18,3849.2009999999996,3891.567,3834.616,3869.3990000000003,1381787,2989830144,3859.197
2007-12-19,3893.219,3919.94,3890.295,3893.7,1507991,3228341504,3958.897
2007-12-20,3971.752,3975.113,3942.803,3960.045,1621594,2820011776,4029.825
2007-12-21,4022.447,4095.847,4020.941,4081.985,3500967,6284719104,4052.9559999999997
2007-12-24,4112.524,4126.365,4096.843,4109.816,2921873,5406855680,4155.15
2007-12-25,4179.84,4200.08,4155.8859999999995,4172.128,2468725,4930957824,4183.557
2007-12-26,4174.771,4206.848,4174.46,4188.6,2015365,4031707136,4129.988
2007-12-27,4191.33,4199.5070000000005,4160.914000000001,4162.071,3439473,5922042368,4222.39
2007-12-28,4269.058,4280.317,4250.385,4268.417,3918659,7319572480,4246.666
2008-1-2,4230.81,4236.66,4165.1,4191.08,3002764,5661027840,4224.3
2008-1-3,4213.02,4213.18,4163.74,4166.54,4646816,9350623232,4151.04
2008-1-4,4231.35,4271.0,4221.65,4264.2,5580373,10658443264,4272.18
2008-1-7,4279.92,4311.21,4255.78,4311.21,4128079,8483396608,4314.17
2008-1-8,4349.49,4383.76,4349.49,4381.29,5962230,10587451392,4427.29
2008-1-9,4341.53,4373.42,4324.91,4367.95,3587418,8534133760,4379.2
2008-1-10,4420.32,4425.55,4384.7,4398.97,4572017,9349726208,4416.26
2008-1-11,4445.23,4473.94,4444.85,4471.58,5725693,11474445312,4459.65
2008-1-14,4503.68,4514.15,4481.7,4505.48,4262592,8783791104,4505.05
2008-1-15,4511.16,4514.98,4485.5,4494.13,3266056,7301400064,4470.96
2008-1-16,4395.37,4395.37,4341.35,4342.02,4051281,8845794304,4318.0
2008-1-17,4219.7,4289.7,4204.12,4274.41,3650807,8110593536,4147.65
2008-1-18,4170.01,4196.22,4132.02,4158.55,2909584,6546591232,4166.94
2008-1-21,4203.51,4211.09,4138.67,4138.75,2697332,4961593344,4096.79
2008-1-22,3880.41,3880.41,3700.27,3700.27,6055714,11965491200,3824.11
2008-1-23,3712.85,3811.16,3712.85,3808.79,5398824,10102734848,3690.29
2008-1-24,3876.36,3882.62,3816.01,3845.11,4603611,8686645248,3809.22
2008-1-25,3814.98,3814.98,3753.9,3753.9,3344287,6009893888,3803.13
2008-1-28,3830.97,3830.97,3729.59,3760.25,2751223,5064391680,3656.33
2008-1-29,3609.11,3685.49,3568.05,3587.46,2367839,4217582592,3613.9
2008-1-30,3653.73,3666.21,3635.68,3660.51,2076082,4024656384,3549.06
2008-1-31,3528.87,3537.97,3485.26,3537.55,1971631,3847004672,3517.67
2008-2-1,3502.23,3523.06,3482.63,3502.69,2460325,4463564288,3401.32
2008-2-4,3598.5,3696.33,3598.5,3682.7,5063928,9545690112,3744.06
2008-2-5,3783.8,3805.33,3738.81,3805.33,4772041,10736609280,3749.4
2008-2-13,3697.53,3706.11,3656.48,3661.99,2857818,5749572096,3706.85
2008-2-14,3699.3,3737.77,3699.3,3715.49,1664643,3128517632,3713.61
2008-2-15,3673.9,3674.84,3645.99,3646.15,1743328,3203184640,3638.36
2008-2-18,3694.67,3708.06,3661.42,3685.74,2318508,4475781632,3716.65
2008-2-19,3722.94,3723.51,3688.17,3719.17,2053696,3608586496,3705.62
2008-2-20,3792.3,3805.36,3777.59,3788.05,2887662,6291907584,3718.35
2008-2-21,3653.81,3662.82,3599.64,3613.66,3143426,5627164672,3620.73
2008-2-22,3597.71,3597.71,3519.89,3520.61,2592911,4866317824,3477.51
2008-2-25,3460.86,3471.33,3349.47,3351.67,3486192,5877798912,3358.64
2008-2-26,3430.37,3445.83,3367.73,3381.67,4703752,7815920640,3322.67
2008-2-27,3384.55,3435.54,3348.94,3430.16,2864220,5346920960,3467.2
2008-2-28,3467.04,3467.04,3436.98,3444.06,1682179,3278513408,3437.14
2008-2-29,3431.4,3465.91,3419.0,3465.64,1275509,2403035648,3477.04
2008-3-3,3449.75,3449.75,3410.68,3423.93,2041060,3994279168,3524.18
2008-3-4,3559.05,3565.98,3535.14,3552.62,2133006,4427720704,3475.64
2008-3-5,3415.73,3446.03,3384.5,3384.57,1925988,3254674176,3343.88
2008-3-6,3398.42,3419.12,3350.5,3350.5,2049773,3764231424,3478.24
2008-3-7,3399.51,3409.82,3379.81,3402.1,1823892,4124822528,3384.01
2008-3-10,3366.97,3366.97,3312.71,3312.71,2306739,4149596416,3301.47
2008-3-11,3233.45,3265.39,3212.82,3265.18,1768614,3206667520,3236.92
2008-3-12,3343.41,3355.98,3292.84,3302.66,2329678,5105359872,3236.97
2008-3-13,3133.62,3133.62,3102.58,3110.38,3027011,5586991104,3110.91
2008-3-14,3098.26,3119.15,3048.25,3048.25,2209391,3844835584,3058.1
2008-3-17,3065.43,3065.43,3016.58,3024.1,1403300,2315194880,2995.76
2008-3-18,2961.06,3021.39,2948.98,3007.35,2052406,3519131136,2926.03
2008-3-19,2925.26,2949.15,2877.67,2892.31,3201691,5326843392,2983.23
2008-3-20,2904.84,2904.84,2837.76,2838.24,2279187,3338867200,2894.5
2008-3-21,3010.26,3058.7,2976.76,3041.45,3614295,6348058112,2991.37
2008-3-24,3056.43,3063.82,2980.33,2981.55,2941356,5028263936,2960.0
2008-3-25,2810.5,2840.46,2790.49,2840.46,2584789,4334489088,2827.93
2008-3-26,2904.34,2946.47,2890.34,2946.23,2292391,4515298816,2929.9
2008-3-27,2837.09,2842.91,2815.61,2838.56,2158985,3454699264,2810.22
2008-3-28,2736.59,2791.05,2726.77,2759.56,2048460,3426454528,2846.48
2008-3-31,2815.31,2853.74,2805.34,2853.74,2844497,4844445696,2849.08
2008-4-1,2812.51,2842.53,2798.75,2799.12,2002699,3189737984,2751.21
2008-4-2,2757.53,2783.47,2698.58,2700.99,4179896,6403423232,2837.25
2008-4-3,2719.9,2731.21,2680.01,2729.41,2742863,4189837568,2770.76
2008-4-7,2803.88,2847.63,2778.52,2842.64,2605810,4646874112,2913.03
2008-4-8,2956.51,2982.81,2928.24,2955.9,4199612,7321439744,3000.39
2008-4-9,2938.49,2947.22,2909.5,2918.83,2294231,3681111296,2924.99
2008-4-10,2780.6,2828.82,2778.16,2823.19,2293404,3219152896,2795.95
2008-4-11,2882.38,2900.29,2862.46,2871.25,2196173,4224951040,2885.47
